t1,t0
701398669.0,695424234.0
695424234.0,734855505.0
734855505.0,780261211.0
780261211.0,902139685.0
902139685.0,1001315306.0000001
1001315306.0000001,1050305672.9999999
1050305672.9999999,1099296040.0
1099296040.0,1132752876.0
1132752876.0,1216394966.0
1216394966.0,1175768808.0
1175768808.0,1166209712.0
1166209712.0,1197276774.0
1197276774.0,1203251209.0
1203251209.0,1251046689.0
1251046689.0,1311985926.0
1311985926.0,1374120050.0
1374120050.0,1444618383.0
1444618383.0,1481659880.0
1481659880.0,1506752507.0
1506752507.0,1550963326.0
1550963326.0,1577250840.0
1577250840.0,1595174145.0
1595174145.0,1591589484.0
